id,sku,name,day_ago_created,short_description,price,list_price,price_usd,all_time_quantity_sold,discount,discount_rate,review_count,rating_average,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,categories_id,categories_name
127862067,8514251381172,Áo khoác hoodie có dây kéo zip basic hoodie unisex,838,"        Áo hoodie có dây kéo zip basic hoodie unisex     Freesize < 75kg    Chất nỉ chân cua dày dặn, form rộng unisex, nam nữ đều mặc ok hết nha    Giá: 140k    Bấm ""theo dõi/ follow"" shop...",109000,109000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,2,Root
225221634,9381099633696,"Áo khoác nỉ hoodie unisex dài tay nam nữ cao cấp, áo nỉ bông sweater, Áo hoodie Basic original, áo khoác hoodie cặp, áo hoodie đôi phong cách oversize, Áo sweater nỉ siêu đẹp vải siêu dày form rộng Unisex",336,+THÔNG TIN VỀ SẢN PHẨM:- Chất liệu: nỉ lót bông / phù hợp mang quanh năm- Họa tiết: in không bong tróc- Màu sắc: kem sáng / hồng - Hướng dẫn chọn size:+ Size M: Dưới 1m5 37kg - 49kg+ Size L: Dưới...,105000,105000,,,0,0,0,0.0,,available,,1000,1000,,5367201,NHUH20,49512,Áo hoodies nam vải nỉ
135604071,5119409890597,ÁO HOODIE CÓ ZIP - LOGO CS:GO,815,"       - Áo hoodie Gildan - made in Bangladesh 50% cotton 50% polyester   - Logo team CS:GO nhỏ ở ngực - logo lớn ở lưng   - Hình in rõ ràng , sắc nét, không phai mờ, bong tróc   ...",380000,380000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,49512,Áo hoodies nam vải nỉ
177966181,3739809728320,"Áo hoodie The Weird Jouune Xám ảnh thật unisex ( nam nữ mặc đều được), áo hoodie thêu The Weird (ảnh thật 100% tại shop), Áo hoodie logo thêu chất thun nỉ mềm mịn form dưới 70kg nón 2 lớp",629,"* Được thiết kế đơn giản nhưng chất liệu vải bền tốt, tạo thoáng mát cùng sự phá cách ngẫu hứng trong mỗi họa tiết. Khi khoác lên người những item của shop đảm bảo ""ngầu"", thoải mái khỏi phải bàn cãi....",99000,99000,,,0,0,0,0.0,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
164985638,8923824658389,ÁO HOODIE UNISEX IN LUFFY,697,"       Áo Hoodie & Sweater Street Style   - Chất liệu vải Nỉ trong có lót lông, rất đứng form, không quá dày (tuyệt đối không mỏng). Có thể mặc làm áo chống nắng hoặc áo gió. Có thể mặc tập t...",110000,110000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,2,Root
74764048,4719891193000,Áo Khoác Among Us Hoodie trắng hình xanh chất liệu nỉ mềm mại,1124,"ÁO KHOÁC AMONG US - ĐẬM CHẤT GAME THỦ️Áo khoác nỉ dầy dặn.️ Mềm mại thoải mái.️ Không bong tróc.️ Tạo sự khác biệt, thể hiện cá tính và đầy phong cách.️ Có thể mặc đi chơi cùng bạn bè, cùng team…...",159000,159000,,4.0,0,0,1,3.0,,available,,1000,1000,,111461,OEM,49512,Áo hoodies nam vải nỉ
127352298,9358433152180,Áo Hoodie Nam Nữ Hoodie Bò Sữa Siêu Hot Nỉ Bông Dày Dặn Hàng QC Khoác BÒ SỮA HD,837,"• Được ""KIỂM TRA HÀNG"" Trước Khi Thanh Toán- AK439 Áo Hoodie Nỉ Bông Bò Sữa Mẫu Mới Siêu Hot. Nỉ Nhập Hàng Quảng Châu Loại 1.- Màu Sắc: TRẮNG •• Giới Tính: UNISEX- Freesize: Form Rộng COUPLE Nam/Nữ...",96000,96000,,1.0,0,0,1,5.0,,available,,1000,1000,,4048625,NIU24,27598,Áo thun - Áo khoác nỉ nữ
254117519,9774647070259,"Áo Hoodie Nỉ Dầy Dặn Unisex Nam Nữ in Hoạt Hình Mặt Qủy Siêu Ngầu Mẫu Mới Hot Trend NAM NỮ IN HÌNH FORM RỘNG CHỐNG NẮNG NÓNG MÙA HÈ, Áo khoác hoodie form rộng unisex chất nỉ ngại dày dặn ĐẦU LÂU",255,"Áo khoác hoodie form rộng nam nữ unisex Áo khoác hoodie nam nữ form rộng nam nữ nỉ ngoại️ Mô tả sản phẩm:- Chất liệu: Nỉ ngoại- Kích thước: S,M,L,XL- Màu sắc: đen trắng xanh kem hồng…️ ÁO KHOÁC H...",105000,105000,,,0,0,0,0.0,,available,,1000,1000,,5367201,NHUH20,49512,Áo hoodies nam vải nỉ
242717374,6431621822623,Áo nỉ hoodie nam có mũ và không mũ hãng Nelly 2022,323,"       Nguyễn Uyên Boutique xin chào mừng quý khách đến với shop    Shop là shop chuyên hàng Quảng Châu, Hàng nội địa Trung Quốc. Vì vậy các sản phẩm luôn đảm bảo về chất l...",247500,247500,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,2,Root
129470393,5447231770872,"Áo Hoodie phản quang 7 màu MRDERECTION form dưới 70kg decan in xịn, áo khoác hoodie nam nữ unisex ulzzang quảng châu, áo hoodie chống nắng tránh mưa hàn quốc Form Unisex Jackets Nam Nữ Couple",832,"NAM NỮ COUPLE ĐỀU MẶC ĐƯỢC, HÀNG BÁN SHOP STORE DÀY DẶN HÌNH THẬT (ĐỪNG SO SÁNH VỚI HÀNG GIÁ RẺ NHÉ KHÁCH ƠI!!!)* Chất liệu: Thun Nỉ cao cấp mềm mịn, co giản tốt, from chuẩn, không xù, thấm hút mồ hô...",125000,125000,,,0,0,0,0.0,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
